# MU=0.20000 KE=0.00000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000153720000
# t,psi,gamma,Ec
3.22,2.3928064350,1.4023994341,-1.5797662167
3.23,2.3959234203,1.4061955961,-1.5933654827
3.24,2.3990957177,1.4099879539,-1.6070385277
3.25,2.4023240924,1.4137765182,-1.6207857022
3.26,2.4056093060,1.4175613000,-1.6346073615
3.27,2.4089521168,1.4213423098,-1.6485038657
3.28,2.4123532797,1.4251195583,-1.6624755797
3.29,2.4158135461,1.4288930563,-1.6765228734
3.30,2.4193336637,1.4326628142,-1.6906461216
3.31,2.4229143763,1.4364288425,-1.7048457040
3.32,2.4265564243,1.4401911517,-1.7191220052
3.33,2.4302605437,1.4439497521,-1.7334754149
3.34,2.4340274669,1.4477046540,-1.7479063277
3.35,2.4378579220,1.4514558675,-1.7624151432
3.36,2.4417526330,1.4552034028,-1.7770022661
3.37,2.4457123198,1.4589472699,-1.7916681061
3.38,2.4497376976,1.4626874785,-1.8064130780
3.39,2.4538294776,1.4664240386,-1.8212376016
3.40,2.4579883662,1.4701569598,-1.8361421019
3.41,2.4622150653,1.4738862517,-1.8511270090
3.42,2.4665102722,1.4776119237,-1.8661927581
3.43,2.4708746793,1.4813339851,-1.8813397895
3.44,2.4753089742,1.4850524451,-1.8965685487
3.45,2.4798138397,1.4887673128,-1.9118794863
3.46,2.4843899535,1.4924785971,-1.9272730581
3.47,2.4890379882,1.4961863067,-1.9427497252
3.48,2.4937586113,1.4998904504,-1.9583099538
3.49,2.4985524849,1.5035910365,-1.9739542153
3.50,2.5034202659,1.5072880734,-1.9896829862
3.51,2.5083626059,1.5109815693,-2.0054967485
3.52,2.5133801507,1.5146715322,-2.0213959891
3.53,2.5184735408,1.5183579699,-2.0373812003
3.54,2.5236434109,1.5220408901,-2.0534528796
3.55,2.5288903902,1.5257203003,-2.0696115298
3.56,2.5342151019,1.5293962078,-2.0858576588
3.57,2.5396181633,1.5330686198,-2.1021917799
3.58,2.5451001859,1.5367375432,-2.1186144115
3.59,2.5506617751,1.5404029848,-2.1351260773
3.60,2.5563035302,1.5440649512,-2.1517273062
3.61,2.5620260444,1.5477234488,-2.1684186325
3.62,2.5678299045,1.5513784837,-2.1852005954
3.63,2.5737156912,1.5550300621,-2.2020737398
3.64,2.5796839786,1.5586781897,-2.2190386153
3.65,2.5857353345,1.5623228722,-2.2360957773
3.66,2.5918703201,1.5659641150,-2.2532457858
3.67,2.5980894899,1.5696019232,-2.2704892066
3.68,2.6043933919,1.5732363019,-2.2878266102
3.69,2.6107825674,1.5768672560,-2.3052585727
3.70,2.6172575506,1.5804947899,-2.3227856752
3.71,2.6238188692,1.5841189082,-2.3404085039
3.72,2.6304670437,1.5877396150,-2.3581276503
3.73,2.6372025877,1.5913569143,-2.3759437111
3.74,2.6440260077,1.5949708098,-2.3938572879
3.75,2.6509378032,1.5985813052,-2.4118689878
3.76,2.6579384661,1.6021884037,-2.4299794226
3.77,2.6650284816,1.6057921086,-2.4481892096
3.78,2.6722083273,1.6093924228,-2.4664989708
3.79,2.6794784732,1.6129893490,-2.4849093337
3.80,2.6868393824,1.6165828898,-2.5034209304
3.81,2.6942915099,1.6201730474,-2.5220343984
3.82,2.7018353036,1.6237598241,-2.5407503800
3.83,2.7094712036,1.6273432217,-2.5595695225
3.84,2.7171996424,1.6309232419,-2.5784924784
3.85,2.7250210446,1.6344998864,-2.5975199049
3.86,2.7329358272,1.6380731563,-2.6166524642
3.87,2.7409443992,1.6416430528,-2.6358908234
3.88,2.7490471619,1.6452095769,-2.6552356546
3.89,2.7572445086,1.6487727294,-2.6746876346
3.90,2.7655368245,1.6523325106,-2.6942474452
3.91,2.7739244868,1.6558889212,-2.7139157727
3.92,2.7824078646,1.6594419611,-2.7336933086
3.93,2.7909873190,1.6629916304,-2.7535807488
3.94,2.7996632027,1.6665379291,-2.7735787942
3.95,2.8084358602,1.6700808566,-2.7936881501
3.96,2.8173056278,1.6736204125,-2.8139095267
3.97,2.8262728334,1.6771565962,-2.8342436387
3.98,2.8353377965,1.6806894067,-2.8546912055
3.99,2.8445008284,1.6842188432,-2.8752529509
4.00,2.8537622316,1.6877449043,-2.8959296035
4.01,2.8631223002,1.6912675889,-2.9167218961
4.02,2.8725813200,1.6947868954,-2.9376305662
4.03,2.8821395678,1.6983028222,-2.9586563556
4.04,2.8917973122,1.7018153677,-2.9798000104
4.05,2.9015548128,1.7053245300,-3.0010622814
4.06,2.9114123207,1.7088303069,-3.0224439232
4.07,2.9213700781,1.7123326966,-3.0439456952
4.08,2.9314283186,1.7158316965,-3.0655683608
4.09,2.9415872670,1.7193273045,-3.0873126874
4.10,2.9518471390,1.7228195181,-3.1091794468
4.11,2.9622081417,1.7263083346,-3.1311694150
4.12,2.9726704732,1.7297937514,-3.1532833717
4.13,2.9832343228,1.7332757656,-3.1755221011
4.14,2.9938998705,1.7367543745,-3.1978863909
4.15,3.0046672876,1.7402295751,-3.2203770331
4.16,3.0155367364,1.7437013644,-3.2429948234
4.17,3.0265083701,1.7471697391,-3.2657405614
4.18,3.0375823326,1.7506346962,-3.2886150506
4.19,3.0487587591,1.7540962324,-3.3116190980
4.20,3.0600377754,1.7575543443,-3.3347535146
4.21,3.0714194983,1.7610090287,-3.3580191147
4.22,3.0829040354,1.7644602820,-3.3814167167
4.23,3.0944914851,1.7679081009,-3.4049471420
4.24,3.1061819367,1.7713524817,-3.4286112159
4.25,3.1179754702,1.7747934211,-3.4524097669
4.26,3.1298721564,1.7782309153,-3.4763436271
4.27,3.1418720567,1.7816649608,-3.5004136319
4.28,3.1539752235,1.7850955539,-3.5246206198
4.29,3.1661816998,1.7885226911,-3.5489654328
4.30,3.1784915193,1.7919463686,-3.5734489160
4.31,3.1909047064,1.7953665828,-3.5980719174
4.32,3.2034212762,1.7987833300,-3.6228352884
4.33,3.2160412344,1.8021966066,-3.6477398833
4.34,3.2287645775,1.8056064089,-3.6727865593
4.35,3.2415912927,1.8090127332,-3.6979761765
4.36,3.2545213576,1.8124155759,-3.7233095979
4.37,3.2675547407,1.8158149334,-3.7487876893
4.38,3.2806914010,1.8192108021,-3.7744113191
4.39,3.2939312882,1.8226031784,-3.8001813585
4.40,3.3072743427,1.8259920588,-3.8260986812
4.41,3.3207204953,1.8293774398,-3.8521641635
4.42,3.3342696678,1.8327593179,-3.8783786841
4.43,3.3479217723,1.8361376896,-3.9047431243
4.44,3.3616767117,1.8395125516,-3.9312583675
4.45,3.3755343796,1.8428839006,-3.9579252997
4.46,3.3894946600,1.8462517332,-3.9847448088
4.47,3.4035574278,1.8496160463,-4.0117177850
4.48,3.4177225483,1.8529768366,-4.0388451207
4.49,3.4319898778,1.8563341010,-4.0661277102
4.50,3.4463592630,1.8596878366,-4.0935664498
4.51,3.4608305413,1.8630380402,-4.1211622378
4.52,3.4754035409,1.8663847091,-4.1489159741
4.53,3.4900780805,1.8697278403,-4.1768285605
4.54,3.5048539697,1.8730674310,-4.2049009007
4.55,3.5197310088,1.8764034787,-4.2331338997
4.56,3.5347089887,1.8797359805,-4.2615284643
4.57,3.5497876911,1.8830649341,-4.2900855025
4.58,3.5649668884,1.8863903369,-4.3188059242
4.59,3.5802463441,1.8897121866,-4.3476906402
4.60,3.5956258119,1.8930304808,-4.3767405628
4.61,3.6111050370,1.8963452174,-4.4059566054
4.62,3.6266837548,1.8996563942,-4.4353396829
4.63,3.6423616919,1.9029640092,-4.4648907107
4.64,3.6581385657,1.9062680604,-4.4946106056
4.65,3.6740140846,1.9095685460,-4.5245002854
4.66,3.6899879477,1.9128654643,-4.5545606683
4.67,3.7060598451,1.9161588135,-4.5847926738
4.68,3.7222294580,1.9194485921,-4.6151972218
4.69,3.7384964584,1.9227347986,-4.6457752329
4.70,3.7548605094,1.9260174316,-4.6765276284
4.71,3.7713212653,1.9292964898,-4.7074553298
4.72,3.7878783712,1.9325719719,-4.7385592594
4.73,3.8045314634,1.9358438770,-4.7698403396
4.74,3.8212801694,1.9391122039,-4.8012994930
4.75,3.8381241078,1.9423769518,-4.8329376426
4.76,3.8550628884,1.9456381199,-4.8647557115
4.77,3.8720961122,1.9488957073,-4.8967546226
4.78,3.8892233715,1.9521497136,-4.9289352990
