# MU=0.16905 KE=0.00000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000129931830
# t,psi,gamma,Ec
3.25,2.5452283115,1.4196246722,-1.7175328856
3.26,2.5489370928,1.4234248108,-1.7322222229
3.27,2.5527035107,1.4272210734,-1.7469912137
3.28,2.5565283363,1.4310134686,-1.7618402344
3.29,2.5604123373,1.4348020048,-1.7767696666
3.30,2.5643562778,1.4385866903,-1.7917798971
3.31,2.5683609185,1.4423675334,-1.8068713172
3.32,2.5724270163,1.4461445423,-1.8220443236
3.33,2.5765553244,1.4499177251,-1.8372993181
3.34,2.5807465921,1.4536870900,-1.8526367074
3.35,2.5850015648,1.4574526449,-1.8680569034
3.36,2.5893209840,1.4612143977,-1.8835603230
3.37,2.5937055869,1.4649723563,-1.8991473884
3.38,2.5981561066,1.4687265286,-1.9148185270
3.39,2.6026732719,1.4724769220,-1.9305741712
3.40,2.6072578073,1.4762235443,-1.9464147588
3.41,2.6119104328,1.4799664029,-1.9623407325
3.42,2.6166318637,1.4837055053,-1.9783525406
3.43,2.6214228110,1.4874408586,-1.9944506364
3.44,2.6262839808,1.4911724701,-2.0106354786
3.45,2.6312160743,1.4949003469,-2.0269075311
3.46,2.6362197880,1.4986244959,-2.0432672631
3.47,2.6412958135,1.5023449240,-2.0597151491
3.48,2.6464448371,1.5060616379,-2.0762516690
3.49,2.6516675403,1.5097746443,-2.0928773077
3.50,2.6569645990,1.5134839497,-2.1095925558
3.51,2.6623366842,1.5171895604,-2.1263979091
3.52,2.6677844614,1.5208914826,-2.1432938687
3.53,2.6733085904,1.5245897226,-2.1602809411
3.54,2.6789097260,1.5282842863,-2.1773596382
3.55,2.6845885168,1.5319751795,-2.1945304771
3.56,2.6903456063,1.5356624080,-2.2117939804
3.57,2.6961816317,1.5393459774,-2.2291506760
3.58,2.7020972247,1.5430258931,-2.2466010974
3.59,2.7080930111,1.5467021604,-2.2641457831
3.60,2.7141696105,1.5503747845,-2.2817852772
3.61,2.7203276366,1.5540437704,-2.2995201292
3.62,2.7265676968,1.5577091230,-2.3173508939
3.63,2.7328903926,1.5613708470,-2.3352781315
3.64,2.7392963188,1.5650289470,-2.3533024075
3.65,2.7457860641,1.5686834274,-2.3714242930
3.66,2.7523602108,1.5723342926,-2.3896443641
3.67,2.7590193346,1.5759815467,-2.4079632026
3.68,2.7657640046,1.5796251935,-2.4263813954
3.69,2.7725947833,1.5832652371,-2.4448995350
3.70,2.7795122265,1.5869016810,-2.4635182190
3.71,2.7865168831,1.5905345289,-2.4822380505
3.72,2.7936092955,1.5941637840,-2.5010596379
3.73,2.8007899988,1.5977894497,-2.5199835948
3.74,2.8080595212,1.6014115289,-2.5390105402
3.75,2.8154183840,1.6050300247,-2.5581410984
3.76,2.8228671014,1.6086449397,-2.5773758990
3.77,2.8304061801,1.6122562767,-2.5967155767
3.78,2.8380361200,1.6158640382,-2.6161607716
3.79,2.8457574133,1.6194682264,-2.6357121292
3.80,2.8535705452,1.6230688435,-2.6553702998
3.81,2.8614759932,1.6266658916,-2.6751359393
3.82,2.8694742274,1.6302593726,-2.6950097085
3.83,2.8775657105,1.6338492882,-2.7149922736
3.84,2.8857508973,1.6374356401,-2.7350843058
3.85,2.8940302352,1.6410184297,-2.7552864816
3.86,2.9024041637,1.6445976583,-2.7755994823
3.87,2.9108731148,1.6481733272,-2.7960239947
3.88,2.9194375123,1.6517454374,-2.8165607102
3.89,2.9280977725,1.6553139899,-2.8372103257
3.90,2.9368543034,1.6588789854,-2.8579735429
3.91,2.9457075052,1.6624404247,-2.8788510684
3.92,2.9546577701,1.6659983083,-2.8998436139
3.93,2.9637054821,1.6695526365,-2.9209518961
3.94,2.9728510172,1.6731034098,-2.9421766364
3.95,2.9820947431,1.6766506283,-2.9635185614
3.96,2.9914370192,1.6801942921,-2.9849784022
3.97,3.0008781967,1.6837344012,-3.0065568950
3.98,3.0104186185,1.6872709554,-3.0282547807
3.99,3.0200586191,1.6908039545,-3.0500728049
4.00,3.0297985245,1.6943333981,-3.0720117181
4.01,3.0396386523,1.6978592858,-3.0940722754
4.02,3.0495793117,1.7013816170,-3.1162552366
4.03,3.0596208031,1.7049003911,-3.1385613659
4.04,3.0697634184,1.7084156075,-3.1609914326
4.05,3.0800074411,1.7119272651,-3.1835462100
4.06,3.0903531457,1.7154353633,-3.2062264764
