# MU=0.16905 KE=0.50000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000129931830
# t,psi,gamma,Ec
4.48,0.4708019476,0.0004234481,0.0056616393
4.49,0.4700081742,0.0004213308,0.0056636196
4.50,0.4692157320,0.0004192242,0.0056655867
4.51,0.4684246189,0.0004171281,0.0056675406
4.52,0.4676348327,0.0004150424,0.0056694815
4.53,0.4668463713,0.0004129672,0.0056714094
4.54,0.4660592323,0.0004109024,0.0056733245
4.55,0.4652734137,0.0004088479,0.0056752267
4.56,0.4644889132,0.0004068036,0.0056771163
4.57,0.4637057287,0.0004047696,0.0056789932
4.58,0.4629238581,0.0004027458,0.0056808576
4.59,0.4621432990,0.0004007320,0.0056827096
4.60,0.4613640494,0.0003987284,0.0056845492
4.61,0.4605861071,0.0003967347,0.0056863765
4.62,0.4598094700,0.0003947511,0.0056881916
4.63,0.4590341358,0.0003927773,0.0056899946
4.64,0.4582601025,0.0003908134,0.0056917855
4.65,0.4574873679,0.0003888593,0.0056935645
4.66,0.4567159298,0.0003869150,0.0056953316
4.67,0.4559457861,0.0003849805,0.0056970869
4.68,0.4551769346,0.0003830556,0.0056988305
4.69,0.4544093733,0.0003811403,0.0057005624
4.70,0.4536431000,0.0003792346,0.0057022828
4.71,0.4528781125,0.0003773384,0.0057039917
4.72,0.4521144087,0.0003754517,0.0057056891
4.73,0.4513519866,0.0003735745,0.0057073753
4.74,0.4505908439,0.0003717066,0.0057090501
4.75,0.4498309786,0.0003698481,0.0057107138
4.76,0.4490723886,0.0003679988,0.0057123664
4.77,0.4483150717,0.0003661588,0.0057140080
4.78,0.4475590259,0.0003643280,0.0057156385
4.79,0.4468042490,0.0003625064,0.0057172582
4.80,0.4460507389,0.0003606939,0.0057188671
4.81,0.4452984936,0.0003588904,0.0057204652
4.82,0.4445475110,0.0003570959,0.0057220527
4.83,0.4437977889,0.0003553105,0.0057236296
4.84,0.4430493253,0.0003535339,0.0057251959
4.85,0.4423021181,0.0003517662,0.0057267518
4.86,0.4415561652,0.0003500074,0.0057282972
4.87,0.4408114645,0.0003482574,0.0057298324
4.88,0.4400680140,0.0003465161,0.0057313573
4.89,0.4393258116,0.0003447835,0.0057328720
4.90,0.4385848552,0.0003430596,0.0057343766
4.91,0.4378451428,0.0003413443,0.0057358712
4.92,0.4371066723,0.0003396376,0.0057373558
4.93,0.4363694417,0.0003379394,0.0057388304
4.94,0.4356334489,0.0003362497,0.0057402953
4.95,0.4348986918,0.0003345684,0.0057417503
4.96,0.4341651684,0.0003328956,0.0057431956
4.97,0.4334328766,0.0003312311,0.0057446313
4.98,0.4327018145,0.0003295750,0.0057460574
4.99,0.4319719800,0.0003279271,0.0057474739
5.00,0.4312433710,0.0003262874,0.0057488810
