# MU=0.15000 KE=0.30000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000115290000
# t,psi,gamma,Ec
3.61,2.8236959100,1.5575601116,-1.8398683523
3.62,2.8302319570,1.5612302600,-1.8528617835
3.63,2.8368511143,1.5648966882,-1.8659162134
3.64,2.8435539901,1.5685594000,-1.8790320349
3.65,2.8503411862,1.5722183994,-1.8922096454
3.66,2.8572132981,1.5758736903,-1.9054494467
3.67,2.8641709150,1.5795252764,-1.9187518445
3.68,2.8712146193,1.5831731611,-1.9321172490
3.69,2.8783449870,1.5868173481,-1.9455460745
3.70,2.8855625875,1.5904578406,-1.9590387396
3.71,2.8928679834,1.5940946419,-1.9725956670
3.72,2.9002617304,1.5977277549,-1.9862172835
3.73,2.9077443777,1.6013571827,-1.9999040201
3.74,2.9153164672,1.6049829282,-2.0136563120
3.75,2.9229785340,1.6086049940,-2.0274745983
3.76,2.9307311062,1.6122233827,-2.0413593224
3.77,2.9385747046,1.6158380969,-2.0553109315
3.78,2.9465098430,1.6194491388,-2.0693298770
3.79,2.9545370279,1.6230565108,-2.0834166142
3.80,2.9626567584,1.6266602150,-2.0975716024
3.81,2.9708695262,1.6302602533,-2.1117953048
3.82,2.9791758159,1.6338566278,-2.1260881885
3.83,2.9875761042,1.6374493401,-2.1404507247
3.84,2.9960708605,1.6410383919,-2.1548833881
3.85,3.0046605465,1.6446237849,-2.1693866574
3.86,3.0133456162,1.6482055204,-2.1839610152
3.87,3.0221265160,1.6517835998,-2.1986069476
3.88,3.0310036844,1.6553580244,-2.2133249447
3.89,3.0399775520,1.6589287954,-2.2281155001
3.90,3.0490485418,1.6624959136,-2.2429791111
3.91,3.0582170684,1.6660593802,-2.2579162787
3.92,3.0674835389,1.6696191960,-2.2729275073
3.93,3.0768483521,1.6731753616,-2.2880133052
3.94,3.0863118985,1.6767278778,-2.3031741838
3.95,3.0958745608,1.6802767452,-2.3184106583
3.96,3.1055367133,1.6838219642,-2.3337232472
3.97,3.1152987222,1.6873635353,-2.3491124724
3.98,3.1251609452,1.6909014587,-2.3645788591
3.99,3.1351237317,1.6944357348,-2.3801229360
4.00,3.1451874229,1.6979663636,-2.3957452349
4.01,3.1553523514,1.7014933453,-2.4114462910
4.02,3.1656188413,1.7050166799,-2.4272266425
4.03,3.1759872082,1.7085363674,-2.4430868309
4.04,3.1864577592,1.7120524076,-2.4590274008
4.05,3.1970307928,1.7155648005,-2.4750488998
4.06,3.2077065987,1.7190735456,-2.4911518786
4.07,3.2184854581,1.7225786429,-2.5073368908
4.08,3.2293676433,1.7260800918,-2.5236044928
4.09,3.2403534180,1.7295778922,-2.5399552443
4.10,3.2514430370,1.7330720434,-2.5563897073
4.11,3.2626367463,1.7365625450,-2.5729084470
4.12,3.2739347830,1.7400493966,-2.5895120311
4.13,3.2853373753,1.7435325976,-2.6062010300
4.14,3.2968447425,1.7470121473,-2.6229760170
4.15,3.3084570949,1.7504880451,-2.6398375676
4.16,3.3201746339,1.7539602904,-2.6567862601
4.17,3.3319975517,1.7574288826,-2.6738226751
4.18,3.3439260315,1.7608938208,-2.6909473958
4.19,3.3559602474,1.7643551045,-2.7081610077
4.20,3.3681003646,1.7678127328,-2.7254640986
4.21,3.3803465389,1.7712667050,-2.7428572586
4.22,3.3926989169,1.7747170203,-2.7603410799
4.23,3.4051576363,1.7781636780,-2.7779161572
4.24,3.4177228253,1.7816066774,-2.7955830868
4.25,3.4303946031,1.7850460175,-2.8133424675
4.26,3.4431730794,1.7884816977,-2.8311948998
4.27,3.4560583549,1.7919137172,-2.8491409863
4.28,3.4690505208,1.7953420752,-2.8671813314
4.29,3.4821496590,1.7987667709,-2.8853165412
4.30,3.4953558422,1.8021878037,-2.9035472239
4.31,3.5086691337,1.8056051727,-2.9218739890
4.32,3.5220895874,1.8090188773,-2.9402974479
4.33,3.5356172478,1.8124289168,-2.9588182135
4.34,3.5492521500,1.8158352904,-2.9774369002
4.35,3.5629943199,1.8192379976,-2.9961541239
4.36,3.5768437739,1.8226370377,-3.0149705018
4.37,3.5908005187,1.8260324101,-3.0338866526
4.38,3.6048645520,1.8294241142,-3.0529031962
4.39,3.6190358617,1.8328121496,-3.0720207536
4.40,3.6333144266,1.8361965156,-3.0912399471
4.41,3.6477002157,1.8395772119,-3.1105613999
4.42,3.6621931889,1.8429542380,-3.1299857365
4.43,3.6767932962,1.8463275935,-3.1495135821
4.44,3.6915004786,1.8496972780,-3.1691455629
4.45,3.7063146673,1.8530632914,-3.1888823059
4.46,3.7212357841,1.8564256332,-3.2087244388
4.47,3.7362637416,1.8597843033,-3.2286725902
4.48,3.7513984425,1.8631393015,-3.2487273890
4.49,3.7666397804,1.8664906277,-3.2688894650
4.50,3.7819876392,1.8698382819,-3.2891594482
4.51,3.7974418935,1.8731822639,-3.3095379693
4.52,3.8130024083,1.8765225739,-3.3300256591
4.53,3.8286690393,1.8798592119,-3.3506231488
4.54,3.8444416327,1.8831921780,-3.3713310700
4.55,3.8603200253,1.8865214725,-3.3921500542
4.56,3.8763040443,1.8898470957,-3.4130807330
4.57,3.8923935076,1.8931690477,-3.4341237381
4.58,3.9085882239,1.8964873290,-3.4552797013
4.59,3.9248879922,1.8998019401,-3.4765492540
4.60,3.9412926023,1.9031128813,-3.4979330275
4.61,3.9578018345,1.9064201532,-3.5194316530
4.62,3.9744154599,1.9097237565,-3.5410457611
4.63,3.9911332401,1.9130236917,-3.5627759822
